Gene,Species Count,Branch Length Range,ANOVA Result,Conclusion
Ampd3,22,0.000184 to 0.341,"F(1, 20) = 0.001, p = 0.978",No significant difference
Asb4,21,0.000002 to 1.266,"F(1, 19) = 0.429, p = 0.521",No significant difference
Ascl4,8,0.005 to 0.395,"F(1, 6) = 1.792, p = 0.229",No significant difference
Casd1,22,0.003 to 0.282,"F(1, 20) = 0.012, p = 0.914",No significant difference
Cd81,8,0.000002 to 1.004,"F(1, 6) = 0.012, p = 0.916",No significant difference
CDH15,22,0.008 to 0.574,"F(1, 20) = 0.066, p = 0.799",No significant difference
CDKN1C,8,0.000002 to 0.193,"F(1, 6) = 1.036, p = 0.350",No significant difference
COMMD1,23,0.000002 to 0.567,"F(1, 21) = 0.183, p = 0.674",No significant difference
DCN,23,0.000001 to 0.598,"F(1, 21) = 0.011, p = 0.917",No significant difference
DHCR7,19,0.000002 to 0.559,"F(1, 17) = 0.217, p = 0.646",No significant difference
DIO3,20,0.000000 to 0.745,"F(1, 18) = 0.203, p = 0.657",No significant difference
DLK1,21,0.000003 to 0.535,"F(1, 19) = 0.022, p = 0.884",No significant difference
DLX5,12,0.000002 to 0.934,"F(1, 10) = 1.135, p = 0.311",No significant difference
DSCAM,17,0.000001 to 0.027,"F(1, 15) = 0.568, p = 0.462",No significant difference
GAB1,21,0.003 to 0.253,"F(1, 19) = 0.084, p = 0.775",No significant difference
GATM,21,0.000001 to 0.114,"F(1, 19) = 0.093, p = 0.764",No significant difference
GLIS3,21,0.003 to 0.354,"F(1, 19) = 0.028, p = 0.868",No significant difference
GRB10,18,0.004 to 1.095,"F(1, 16) = 1.420, p = 0.251",No significant difference
HTR2A,21,0.000003 to 0.506,"F(1, 19) = 0.408, p = 0.531",No significant difference
IGF2,9,0.000002 to 5.250,"F(1, 7) = 0.034, p = 0.857",No significant difference
IGF2R,21,0.022 to 0.431,"F(1, 19) = 0.188, p = 0.669",No significant difference
IMPACT,18,0.000002 to 0.447,"F(1, 16) = 0.347, p = 0.564",No significant difference
LIN28B,23,0.0048 to 0.853,"F(1, 21) = 0.203, p = 0.657",No significant difference
LRRTM1,19,0.000002 to 0.089,"F(1, 17) = 0.839, p = 0.373",No significant difference
NAA60,10,0.000002 to 0.745,"F(1, 8) = 0.319, p = 0.587",No significant difference
OSBPL5,19,0.0057 to 0.441,"F(1, 17) = 0.533, p = 0.474",No significant difference
PON2,11,0.0056 to 0.241,"F(1, 9) = 0.649, p = 0.441",No significant difference
PON3,8,0.017 to 0.197,"F(1, 6) = 0.451, p = 0.526",No significant difference
RB1,20,0.000003 to 0.385,"F(1, 18) = 0.003, p = 0.955",No significant difference
SFMBT2,22,0.000002 to 0.389,"F(1, 20) = 0.021, p = 0.886",No significant difference
SLC38A4,21,0.000001 to 0.230,"F(1, 19) = 0.307, p = 0.586",No significant difference
TSSC4,12,0.003 to 0.925,"F(1, 10) = 0.203, p = 0.663",No significant difference
ZC3H12C,13,0.006 to 0.553,"F(1, 11) = 0.116, p = 0.739",No significant difference
ZFAT,17,0.001 to 9.999,"F(1, 15) = 0.181, p = 0.675",No significant difference
ZNF597,5,0.030 to 0.388,"F(1, 3) = 0.027, p = 0.883",No significant difference
